Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,121310,121280,121279,121279,120519
2,121510,121502,121501,121503,120740
3,121740,121724,121723,121727,120960
4,121950,121946,121945,121951,121181
5,122200,122167,122168,122175,121402
6,122400,122389,122390,122398,121623
7,122620,122611,122612,122622,121844
8,122820,122833,122834,122846,122064
9,122990,123055,123056,123070,122285
10,123270,123277,123278,123294,122506
11,123500,123499,123501,123518,122727
12,123770,123721,123723,123741,122947
1,124210,124177,124169,124157,123389
2,124420,124399,124392,124380,123610
3,124630,124621,124614,124604,123831
4,124830,124842,124836,124827,124051
5,125030,125064,125058,125051,124272
6,125280,125286,125281,125274,124493
7,125500,125508,125503,125498,124714
8,125730,125729,125725,125721,124935
9,125910,125951,125947,125945,125155
10,126150,126173,126170,126168,125376
11,126390,126395,126392,126392,125597
12,126610,126617,126614,126615,125818
1,126860,126838,126836,126839,126039
2,127060,127060,127058,127062,126259
3,127300,127282,127281,127286,126480
4,127500,127504,127503,127509,126701
5,127760,127725,127725,127733,126922
6,127920,127947,127947,127956,127142
7,128210,128169,128170,128180,127363
8,128410,128391,128392,128403,127584
9,128560,128613,128614,128627,127805
10,128850,128834,128836,128850,128026
11,129060,129056,129058,129074,128246
12,129270,129278,129281,129297,128467
1,129760,129731,129720,129705,128909
2,129970,129952,129943,129928,129130
3,130170,130173,130165,130151,129350
4,130380,130394,130387,130374,129571
5,130580,130615,130609,130598,129792
6,130830,130836,130831,130821,130013
7,131080,131057,131053,131044,130234
8,131270,131278,131275,131267,130454
9,131450,131499,131497,131490,130675
10,131710,131720,131719,131714,130896
11,131900,131941,131941,131937,131117
12,132170,132162,132163,132160,131337
1,132430,132383,132385,132383,131558
2,132610,132604,132607,132606,131779
3,132850,132825,132829,132830,132000
4,133040,133046,133051,133053,132221
5,133260,133267,133273,133276,132441
6,133490,133488,133496,133499,132662
7,133740,133709,133718,133723,132883
8,133950,133931,133940,133946,133104
9,134080,134152,134162,134169,133325
10,134390,134373,134384,134392,133545
11,134520,134594,134606,134615,133766
12,134890,134815,134828,134839,133987
1,135320,135273,135267,135249,134429
2,135530,135494,135489,135472,134649
3,135730,135715,135711,135695,134870
4,135930,135936,135933,135918,135091
5,136110,136158,136155,136142,135312
6,136380,136379,136377,136365,135533
7,136590,136600,136599,136588,135753
8,136790,136821,136821,136812,135974
9,137020,137042,137043,137035,136195
10,137270,137263,137264,137258,136416
11,137480,137484,137486,137482,136636
12,137720,137706,137708,137705,136857
1,137950,137927,137930,137928,137078
2,138140,138148,138152,138152,137299
3,138380,138369,138374,138375,137520
4,138600,138590,138596,138598,137740
5,138790,138811,138818,138822,137961
6,139000,139032,139040,139045,138182
7,139250,139254,139262,139268,138403
8,139440,139475,139483,139492,138624
9,139690,139696,139705,139715,138844
10,139950,139917,139927,139938,139065
11,140150,140138,140149,140161,139286
12,140390,140359,140371,140385,139507
1,140840,140816,140815,140800,139948
2,141060,141038,141037,141023,140169
3,141250,141259,141258,141247,140390
4,141480,141481,141480,141470,140611
5,141670,141703,141702,141693,140831
6,141910,141925,141924,141916,141052
7,142160,142147,142146,142139,141273
8,142330,142368,142368,142362,141494
9,142560,142590,142590,142585,141715
10,142800,142812,142812,142808,141935
11,143010,143034,143034,143032,142156
12,143280,143256,143256,143255,142377
1,143520,143477,143477,143478,142598
2,143720,143699,143699,143701,142819
3,143950,143921,143921,143924,143039
4,144120,144143,144143,144147,143260
5,144380,144365,144365,144370,143481
